symbol,ev,confidence
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
GBPJPY,0.0560368812339796,MODERATE
XAUUSD,0.0560368812339796,MODERATE
XAGUSD,0.0560368812339796,MODERATE
BTCUSD,0.0560368812339796,MODERATE
ETHUSD,0.0560368812339796,MODERATE
SPX500,0.0560368812339796,MODERATE
NAS100,0.0560368812339796,MODERATE
EURUSD,0.0560368812339796,MODERATE
GBPUSD,0.0560368812339796,MODERATE
USDJPY,0.0560368812339796,MODERATE
USDCHF,0.0560368812339796,MODERATE
AUDUSD,0.0560368812339796,MODERATE
NZDUSD,0.0560368812339796,MODERATE
USDCAD,0.0560368812339796,MODERATE
EURGBP,0.0560368812339796,MODERATE
EURJPY,0.0560368812339796,MODERATE
